CompanyID,CompanyName,Department,Address,City,Province,PostalCode,ContactName,ContactPhone,AccountNumberExactLenght,AccountNumberMinimumLength,AccountNumberMaximumLength,EditRulesForAccountNumbers,DataTypeFormatForAccountNumbers,ValidStartForAccountNumbers,InvalidStartForAccountNumbers,ValidEndForAccountnumbers,InvalidEndForAccountNumbers,Timestamp,CCIN,CompanyFrenchName,CompanyEnglishShortName,CompanyFrenchShortName,LanguageIndicator,EffectiveDate,CurrentRecord,CreditorType
"1","BELL CANADA","","100 Wynford Dr. Tr. CPC 6/Fl Sec A","TORONTO","ON","M3C 1K4","Billing Information Team","=""0""","99","","16","S","XXXXNNNNXXXNNNNN","","8455                                                                                               ","","","10/30/2013 10:39:21 AM","90070925","","BELL CANADA","BELL CANADA","E","2/15/1998 12:00:00 AM","Y","CR"
"4","BELL MOBILITY","c/o Cash Settlement","2 Bloor Street East  Suite 3300","TORONTO","ON","M4W 3Y7","Billing Information Team","=""0""","14","","99","S","NNNNNNNNAAANNN","","","","","10/30/2013 10:45:09 AM","90006176","BELL MOBILITE","BELL MOBILITY","BELL MOBILITE","E","2/15/1998 12:00:00 AM","Y","CR"
"7","HYDRO ONE BRAMPTON","Finance and Administration","175 Sandalwood Parkway West","BRAMPTON","ON","L7A 1E8","Mary Di Felice","=""0""","14","","99","","NNNNNNNNNNNNNN","","","","","10/8/2014 8:41:23 AM","90004016","","HYD ONE BRAMPTO","HYD ONE BRAMPTO","E","5/1/2000 12:00:00 AM","Y","CR"
"11","MISSISSAUGA ONTARIO, CITY - TAX","Tax Department","300 City Centre Drive","MISSISSAUGA","ON","L5B 3C1","Alison - Tax Clerk","=""0""","99","","19","","NNNNNNNNNNNNNNNNNNN","=""05                                                                                                 ""","","","","7/31/2012 3:09:12 PM","90001821","","MISSISAUGA TAX","MISSISAUGA TAX","E","2/15/1998 12:00:00 AM","Y","CR"
"12","TORONTO CITY OF - TAXES","Finance Department (Tax)","5100 Yonge St.","TORONTO","ON","M2N 5V7","Marjorie Bucci","=""0""","21","","99","S","NNNNNNNNNNNNNNNNNNNNN","1901  1904  1906  1908  1914 1919","","","","5/29/2015 2:41:02 PM","90001563","TORONTO (CITY) TAXES","TORONTO TAXES","TORONTO TAXES","E","11/29/1999 12:00:00 AM","Y","CR"
"13","TORONTO UTILITY BILL (CITY)","Finance Department (Water)","5100 Yonge St.","NORTH YORK","ON","M2N 5V7","Marjorie Bucci","=""0""","20","","99","M","NNNNNNNNNNNNNNNNNNNN","","","","","6/15/2011 9:58:13 AM","90001572","","TOR UTL BILL","TOR UTL BILL","E","2/15/1998 12:00:00 AM","Y","CR"
"17","ENBRIDGE","","500 Consumers Road","WILLOWDALE","ON","M2J 1P8","Diane Howland","=""0""","12","","99","","NNNNNNNNNNNN","","","","","3/21/2013 12:54:50 PM","90023246","ENBRIDGE","ENBRIDGE","ENBRIDGE","E","10/2/2000 12:00:00 AM","Y","CR"
"18","BRAMPTON ONT, CITY - TAXES","Tax Department","2 Wellington St. W.","BRAMPTON","ON","L6Y 4R2","Jackie Palmer","=""0""","17","","99","","NNNNNNNNNNNNNNNNN","10                                                                                                 ","","","","6/8/2012 10:58:43 AM","90001652","","BRAMPTON-TAXES","BRAMPTON-TAXES","E","6/8/2000 12:00:00 AM","Y","CR"
"21","SHAW CABLE SYSTEMS LTD","","630 3rd Ave. S.W.","CALGARY","AB","T2P 4L4","Cheryl","=""0""","11","","99","","NNNNNNNNNNN","=""003 005 009 010 011 012 013 014 016 017 018 019 026 027 028 029 030 031 032 033 038 039 055 065 099""","","","","9/23/2013 11:42:00 AM","90000706","","SHAW CABLE","SHAW CABLE","E","2/18/2000 12:00:00 AM","Y","CR"
"24","BISHOP'S UNIVERSITY - TUITION FEES","","Box 5000","SHERBROOKE","QC","J1M 1Z7","Esther Paquette","=""0""","9","","99","","NNNNNNNNN","=""00                                                                                                 ""","","","","9/7/2012 11:27:31 AM","90075289","UNIVERSITE BISHOP'S -FRAIS SCOLAIRE","BISHOP'S UNIV.","UNIV. BISHOP'S","E","2/15/1998 12:00:00 AM","Y","CR"
"25","ENERSOURCE HYDRO MISSISSAUGA INC.","","3240 Mavis Road","MISSISSAUGA","ON","L5C 3K1","Bev Fletcher","=""0""","10","","99","","NNNNNNNNNN","","","","","4/2/2014 1:01:49 PM","90001616","ENERSOURCE HYDRO MISSISSAUGA INC.","ENER. HYD MISS","ENER. HYD MISS","E","9/13/2000 12:00:00 AM","Y","CR"
"26","NEWMARKET ONTARIO - HYDRO ELECTRIC","","590 Steven Court","NEWMARKET","ON","L3Y 6Z2","Valda Clark","=""0""","10","","99","","NNNNNNNN NN","","","","","7/22/2011 1:58:58 PM","90015512","","NEWMARKET HYDRO","NEWMARKET HYDRO","E","2/15/1998 12:00:00 AM","Y","CR"
"29","HYDRO ONE NETWORKS INC.","","P.O. Box 4102, Station A","TORONTO","ON","M5W 3L3","Sharon Bannon X4054","=""0""","12","","99","","NNNNNNNNNNNN","","","","","6/11/2014 6:24:34 AM","90002955","","HYDRO ONE","HYDRO ONE","E","7/20/2000 12:00:00 AM","Y","CR"
"31","VERIDIAN CONNECTIONS","","55 Taunton Road East","AJAX","ON","L1T 3V3","Tracy Strong","=""0""","10","","99","","NNNNNNNNNN","","","","","8/23/2012 3:40:02 PM","90005346","","VERIDIAN CONNEC","VERIDIAN CONNCE","E","7/26/2000 12:00:00 AM","Y","CR"
"32","REGION OF PEEL WATER AND WASTEWATER","Water Works Department","10 Peel Centre","BRAMPTON","ON","L6X 4B9","Carollee Meyer","=""0""","99","","10","","NNNNNNNNNN","","","","","6/4/2014 10:26:20 AM","90002223","","PEEL-WTR&WASTEW","PEEL-WTR&WASTEW","E","8/4/2000 12:00:00 AM","Y","CR"
"34","ROGERS CABLE TV (12 DIGITS)","","855 York Mills Road","DON MILLS","ON","M3B 1Z1","Linda Luciani","=""0""","12","","99","","NNNNNNNNNNNN","230 231 232 233 234 239 240 260 265  220  221  222                                                 ","270  272  273  274                                                                                 ","","","11/24/2014 1:03:52 PM","90007326","","ROGERS CABLE","ROGERS CABLE","E","2/15/1998 12:00:00 AM","Y","CR"
"35","GENERAL SER GARAGE-HIGH PRAIRIE","","Box 419","HIGH PRAIRIE","AB","T0G 1E0","Carol Charrois","=""0""","5","","99","","XXXXX","","","","","11/22/2012 10:25:52 AM","=""00000000""","GENERAL SER GARAGE-HIGH PRAIRIE","GEN. SER. GRGE","GEN. SER. GRGE","E","1/4/2000 12:00:00 AM","Y","CR"
"39","TORONTO HYDRO ELECTRIC SYSTEM LTD.","Remittance Team-Cust.Care A/R Dept.","5800 Yonge Street 2nd Floor","NORTH YORK","ON","M2M 3T3","Catherine Kent","=""0""","10","","99","","NNNNNNNNNN","","","","","6/4/2014 10:44:27 AM","90013569","","TORONTO HYDRO","TORONTO HYDRO","E","8/25/2000 12:00:00 AM","Y","CR"
"40","AJAX ONT, TOWN OF- TAXES","Tax Department","AJAX","AJAX","ON","L1S 2H9","Brenda Van Essen","=""0""","99","","15","","NNNNNNNNNNNNNNN","","","","","4/5/2012 10:58:56 AM","90000751","","AJAX-TAXES","AJAX-TAXES","E","5/8/2000 12:00:00 AM","Y","CR"
"41","MARKHAM ONTARIO, TOWN OF - TAXES","Tax Department","101 Town Centre Boulevard","MARKHAM","ON","L3R 9W3","Ramini Sivananthan","=""0""","99","","20","","NNNNNNNNNNNNNNNNNNNN","","","","","6/16/2011 8:46:03 AM","90005765","","MARKHAM TAXES","MARKHAM TAXES","E","6/7/2000 12:00:00 AM","Y","CR"
"43","OAKVILLE ONTARIO - TAXES","Tax Department","CITY","OAKVILLLE","ON","L6J 5E3","Debbie Beal","=""0""","99","","=""06""","","NNNNNN","","","","","6/4/2014 10:21:53 AM","90002198","","OAKVILLE-TAX","OAKVILLE-TAX","E","2/15/1998 12:00:00 AM","Y","CR"
"44","UNION GAS","","50 Keil Drive","CHATHAM","ON","N7M 4M1","Elaine Charlton","=""0""","14","","99","","NNNNNNNNNNNNNN","","","","","4/1/2009 9:43:05 AM","90001402","","UNION GAS","UNION GAS","E","9/11/2000 12:00:00 AM","Y","CR"
"45","POWERSTREAM","","161 Cityview Blvd","VAUGHAN","ON","L4H 0A9","Nancy Barr","=""0""","99","","12","","NNNNNNNNNNNN","","","","","5/25/2015 2:18:24 PM","90004347","","POWERSTREAM","POWERSTREAM","E","11/5/1999 12:00:00 AM","Y","CR"
"46","VISA-SCOTIABANK AND SCOTIALINE VISA","","PO Box 4100, Station","TORONTO","ON","M5W 1T1","Admin Centre","=""0""","16","","99","M","NNNNNNNNNNNNNNNN","4535 4537 4538 448421 453737                                                                       ","453746 453744 453748 453749 4538190                                                                ","","","2/18/2015 12:58:59 PM","=""00000000""","CARTE VISA DE LA BANQUE SCOTIA","VISA - BNS","CARTE VISA BNS","E","1/19/2000 12:00:00 AM","Y","VSA"
